amount,method,bank,device,failure_reason,previous_success_rate,previous_failures,customer_age_days,action,recovered
15895,upi,ICICI,web,insufficient_funds,0.6789267873576292,1,467,RETRY_NOW,0
44231,wallet,NONE,web,network_error,0.24512926322168022,3,414,RETRY_NOW,1
39288,upi,AXIS,ios,network_error,0.20565304417577393,0,561,DELAYED_RETRY,1
18531,wallet,NONE,web,network_error,0.27248514762625664,2,876,DELAYED_RETRY,0
11494,upi,ICICI,web,bank_timeout,0.5603994015756344,1,388,NO_ACTION,0
43101,upi,SBI,android,network_error,0.7473864212097256,3,455,ALTERNATE_METHOD,0
41094,card,NONE,android,insufficient_funds,0.3457888702304499,3,2,DELAYED_RETRY,0
40857,upi,ICICI,ios,network_error,0.5598033066958126,1,958,NO_ACTION,0
11634,wallet,NONE,ios,authentication_failed,0.6166674080206589,4,720,ALTERNATE_METHOD,0
21371,card,NONE,android,insufficient_funds,0.6856273981493477,4,41,RETRY_NOW,0
49084,netbanking,NONE,android,insufficient_funds,0.5159052145404558,2,499,ALTERNATE_METHOD,0
12766,upi,SBI,web,network_error,0.2926952476201038,0,840,DELAYED_RETRY,1
35322,card,NONE,android,authentication_failed,0.6730382301661817,2,547,DELAYED_RETRY,1
13873,netbanking,NONE,android,bank_timeout,0.649021758055597,2,393,ALTERNATE_METHOD,1
23519,upi,ICICI,web,insufficient_funds,0.7091283290110244,3,96,ALTERNATE_METHOD,1
6474,upi,ICICI,web,bank_timeout,0.383038532393298,2,243,RETRY_NOW,0
42657,upi,HDFC,ios,insufficient_funds,0.8429376615192916,3,340,NO_ACTION,0
26205,netbanking,NONE,android,authentication_failed,0.9254627532366033,0,377,ALTERNATE_METHOD,1
9574,netbanking,NONE,ios,insufficient_funds,0.6272715355003535,4,225,RETRY_NOW,0
34866,netbanking,NONE,ios,insufficient_funds,0.6150324973946929,0,692,DELAYED_RETRY,0
17775,card,NONE,web,network_error,0.7698164719395537,4,625,NO_ACTION,1
28773,card,NONE,ios,authentication_failed,0.4229171713892892,0,385,RETRY_NOW,1
38659,card,NONE,web,insufficient_funds,0.2646826610661722,2,401,ALTERNATE_METHOD,0
40645,card,NONE,ios,authentication_failed,0.8531454985755071,0,201,DELAYED_RETRY,1
15808,netbanking,NONE,web,insufficient_funds,0.21327026314228492,2,511,RETRY_NOW,0
18327,upi,HDFC,web,network_error,0.8701680847258624,2,988,ALTERNATE_METHOD,1
22018,card,NONE,ios,authentication_failed,0.38284001743783974,1,624,ALTERNATE_METHOD,0
2149,upi,AXIS,ios,insufficient_funds,0.6466347628856781,2,9,RETRY_NOW,0
1254,wallet,NONE,ios,insufficient_funds,0.9102160790087679,3,587,NO_ACTION,0
48454,wallet,NONE,ios,bank_timeout,0.7308014152864446,4,914,RETRY_NOW,0
2969,netbanking,NONE,android,bank_timeout,0.3407402021418763,3,801,DELAYED_RETRY,1
22499,wallet,NONE,web,authentication_failed,0.7260903138402748,0,688,RETRY_NOW,1
19930,card,NONE,ios,network_error,0.9784084438019565,4,563,NO_ACTION,0
49477,upi,SBI,android,insufficient_funds,0.7351392477304797,0,453,RETRY_NOW,0
37510,wallet,NONE,android,insufficient_funds,0.34168854352563915,3,158,NO_ACTION,0
47302,wallet,NONE,android,bank_timeout,0.9426548500701804,0,302,NO_ACTION,0
290,upi,HDFC,web,bank_timeout,0.45353760412502214,1,793,DELAYED_RETRY,0
38310,wallet,NONE,ios,insufficient_funds,0.3671349740922882,1,639,DELAYED_RETRY,0
